quarter,index
01/01/1990,24.3
03/01/1990,24.4
06/01/1990,25
09/01/1990,24.7
01/01/1991,24.9
03/01/1991,25.5
06/01/1991,25.2
09/01/1991,25.1
01/01/1992,25.8
03/01/1992,27.4
06/01/1992,28
09/01/1992,28.6
01/01/1993,30.2
03/01/1993,39.6
06/01/1993,47.7
09/01/1993,49
01/01/1994,50.4
03/01/1994,51.7
06/01/1994,54.6
09/01/1994,54.8
01/01/1995,57.3
03/01/1995,63.9
06/01/1995,67.7
09/01/1995,73.7
01/01/1996,80.5
03/01/1996,90.9
06/01/1996,96.4
09/01/1996,99
01/01/1997,98.6
03/01/1997,97.5
06/01/1997,93.6
09/01/1997,88
01/01/1998,81.7
03/01/1998,78.3
06/01/1998,74.9
09/01/1998,72.3
01/01/1999,71.2
03/01/1999,72.2
06/01/1999,78.1
09/01/1999,79.8
01/01/2000,80.3
03/01/2000,79.3
06/01/2000,77.6
09/01/2000,75.8
01/01/2001,73.2
03/01/2001,72.1
06/01/2001,70.6
09/01/2001,69.6
01/01/2002,69.1
03/01/2002,69.2
06/01/2002,69.9
09/01/2002,69.9
01/01/2003,71
03/01/2003,72.5
06/01/2003,74.3
09/01/2003,75.1
01/01/2004,75.3
03/01/2004,76.2
06/01/2004,76.3
09/01/2004,77.1
01/01/2005,77.2
03/01/2005,73.5
06/01/2005,73.2
09/01/2005,73.5
01/01/2006,73.6
03/01/2006,74.3
06/01/2006,74.2
09/01/2006,74.9
01/01/2007,75.8
03/01/2007,78.1
06/01/2007,83.2
09/01/2007,88
01/01/2008,91.3
03/01/2008,95.4
06/01/2008,99.4
09/01/2008,100.8
01/01/2009,100
03/01/2009,101.4
06/01/2009,105
09/01/2009,109
01/01/2010,112.1
03/01/2010,116.6
06/01/2010,121.3
09/01/2010,124.4
01/01/2011,126.4
03/01/2011,130.4
06/01/2011,135.4
09/01/2011,137.7
01/01/2012,138.5
03/01/2012,140.3
06/01/2012,143.1
09/01/2012,146.7
01/01/2013,148.6
03/01/2013,149.4
06/01/2013,148.1
09/01/2013,145.8
01/01/2014,143.5
03/01/2014,141.5
06/01/2014,139.1
09/01/2014,137
01/01/2015,135.6
03/01/2015,135
06/01/2015,134.6
09/01/2015,134.8
01/01/2016,134.7
03/01/2016,134.7
06/01/2016,134.7
09/01/2016,134.6
01/01/2017,133.9
03/01/2017,133.7
06/01/2017,132.8
09/01/2017,132.6
01/01/2018,131.6
03/01/2018,131.7
06/01/2018,131.6
09/01/2018,131.4
01/01/2019,131
03/01/2019,130.8
06/01/2019,130.9
09/01/2019,131.5
01/01/2020,131.5
03/01/2020,131.9
06/01/2020,133.9
09/01/2020,138.1
01/01/2021,142.2
03/01/2021,146.4
06/01/2021,150.6